City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Vila Velha,BR,82.35,-20.3297,-40.2925,Hotel Vitória Palace
2,Kapaa,US,80.58,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Arraial Do Cabo,BR,82.36,-22.9661,-42.0278,Pousada Porto Praia
6,Georgetown,MY,85.95,5.4112,100.3354,Cititel Penang
7,Sao Joao Da Barra,BR,84.29,-21.6403,-41.0511,Pousada Porto De Canoas
16,Hilo,US,80.28,19.7297,-155.09,Hilo Hawaiian Hotel
19,Zaraza,VE,85.1,9.3503,-65.3245,Hotel Zaraza
20,Sao Jose Da Coroa Grande,BR,79.34,-8.8978,-35.1478,Crôa Mares Hotel
21,Albany,US,81.63,42.6001,-73.9662,
44,Skegness,GB,86.07,53.1436,0.3363,The Royal Hotel
46,Gizo,SB,81.34,-8.103,156.8419,Imagination Island
47,Naifaru,MV,82.04,5.4444,73.3657,Naifaru Residence Guest House
56,Ponta Do Sol,PT,79.0,32.6667,-17.1,Hotel do Campo
57,Sinnamary,GF,80.89,5.3833,-52.95,ALETHEIA Appartement Sinnamary
58,Pochutla,MX,78.82,15.7432,-96.4661,Hotel Posada San Jose
60,Westport,US,82.27,41.1415,-73.3579,The Westport Inn
65,Butaritari,KI,82.26,3.0707,172.7902,Isles Sunset Lodge
71,Port Alfred,ZA,85.17,-33.5906,26.891,The Halyards Hotel
75,Broome,US,79.47,42.2506,-75.833,Chenango Valley State Park
78,Jamestown,US,78.39,42.097,-79.2353,Hampton Inn & Suites Jamestown
92,Itoman,JP,82.78,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
100,Hithadhoo,MV,78.67,-0.6,73.0833,Scoop Guest House
104,Bethel,US,81.45,41.3712,-73.414,Courtyard by Marriott Danbury
112,Labuhan,ID,78.69,-6.8844,112.2051,DoubleFAG
116,Ribeira Brava,PT,79.0,32.65,-17.0667,Hotel do Campo
119,Raga,SS,85.77,8.4596,25.678,
123,Korla,CN,83.88,41.7597,86.1469,Gulisitan Hotel
129,Lewiston,US,86.41,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
135,Faya,SA,80.71,18.3851,42.4509,املاك خالد الشعشوع
140,Nikolsk,RU,78.53,53.7189,46.0712,Гостиница Центральная
